id,address,categories,city,country,keys,latitude,longitude,menuPageURL,amountMax,amountMin,currency,dateSeen,description,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,13,13,USD,2015-10-24T00:03:31Z,"Meatball, pepperoni, sausage, mozzarella and sauce",Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,10.25,10.25,USD,2015-10-24T00:03:31Z,,Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,3,3,USD,2015-10-24T00:03:31Z,,Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,4.95,4.95,USD,2015-10-24T00:03:31Z,,Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,12.5,12.5,USD,2015-10-24T00:03:31Z,"Ricotta, mozzarella, spinach and sun dried tomatoes",Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,12.5,12.5,USD,2015-10-24T00:03:31Z,"Shrimp scampi, garlic and mozzarella",Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,1.75,1.75,USD,2015-10-24T00:03:31Z,,Adriatico Pizza,7083,,,,Townley
AVweKtj0ByjofQCxv3O5,300 S Doheny Dr,Restaurant,Los Angeles,US,us/bicentennial/losangeles/300sdohenydr/-1349307550,34.073552,-118.38953,,18,18,USD,2016-08-03T21:10:38Z,"Wild mushrooms, spring onion pesto, arugula, fiore sardo",Culina,90048,USD,0,30,Bicentennial
AVweKtj0ByjofQCxv3O5,300 S Doheny Dr,Restaurant,Los Angeles,US,us/bicentennial/losangeles/300sdohenydr/-1349307550,34.073552,-118.38953,,,,,2016-07-29T00:00:00Z,"Fior di Latte, Creamy Corn, Calabrian Chili, Arugula, Prosciutto di Parma",Culina,90048,USD,0,30,Bicentennial
AVweKtj0ByjofQCxv3O5,300 S Doheny Dr,Restaurant,Los Angeles,US,us/bicentennial/losangeles/300sdohenydr/-1349307550,34.073552,-118.38953,,18,18,USD,2016-08-03T21:10:38Z,"Ricotta, spicy tomato, pecorino romano, oregano, mint",Culina,90048,USD,0,30,Bicentennial
AVweKtj0ByjofQCxv3O5,300 S Doheny Dr,Restaurant,Los Angeles,US,us/bicentennial/losangeles/300sdohenydr/-1349307550,34.073552,-118.38953,,22,22,USD,2016-08-03T21:10:38Z,"Chili marinated shrimp, heirloom tomatoes, caprino, coriander",Culina,90048,USD,0,30,Bicentennial
AVweKtj0ByjofQCxv3O5,300 S Doheny Dr,Restaurant,Los Angeles,US,us/bicentennial/losangeles/300sdohenydr/-1349307550,34.073552,-118.38953,,16,16,USD,2016-08-03T21:10:38Z,"Mozzarella, tomato sauce, basil, white or wheat crust",Culina,90048,USD,0,30,Bicentennial
