id,address,categories,city,country,keys,latitude,longitude,menuPageURL,amountMax,amountMin,currency,dateSeen,description,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVweKaqCByjofQCxv023,27 Pleasant St,American Restaurant,South Weymouth,US,us/weymouthnas/southweymouth/27pleasantst/1321712359,42.17215921,-70.95452033,,8.49,8.49,USD,2015-11-02T17:48:46Z,"Feta, tomatoes, onions, and black olives",Warrens Place,2190,USD,25,40,Weymouth Nas
AVweKaqCByjofQCxv023,27 Pleasant St,American Restaurant,South Weymouth,US,us/weymouthnas/southweymouth/27pleasantst/1321712359,42.17215921,-70.95452033,,7.49,7.49,USD,2015-11-02T17:48:46Z,,Warrens Place,2190,USD,25,40,Weymouth Nas
AVweKaqCByjofQCxv023,27 Pleasant St,American Restaurant,South Weymouth,US,us/weymouthnas/southweymouth/27pleasantst/1321712359,42.17215921,-70.95452033,,7.49,7.49,USD,2015-11-02T17:48:46Z,,Warrens Place,2190,USD,25,40,Weymouth Nas
AVweKaqCByjofQCxv023,27 Pleasant St,American Restaurant,South Weymouth,US,us/weymouthnas/southweymouth/27pleasantst/1321712359,42.17215921,-70.95452033,,8.99,8.99,USD,2015-11-02T17:48:46Z,,Warrens Place,2190,USD,25,40,Weymouth Nas
AVwekDwtkufWRAb5EHm_,7A Trolly Sq,Restaurant,Wilmington,US,us/de/wilmington/7atrollysq/-1935828116,39.757859,-75.56166,,10,10,USD,2016-08-21T00:00:00Z,"Our Handmade dough, pan fried then topped with tomato sauce and mozzarella cheese.",Cantina Di Napoli,19806,USD,0,30,DE
AVwekDwtkufWRAb5EHm_,7A Trolly Sq,Restaurant,Wilmington,US,us/de/wilmington/7atrollysq/-1935828116,39.757859,-75.56166,,,,,2016-08-21T00:00:00Z,,Cantina Di Napoli,19806,USD,0,30,DE
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,,5.99,5.99,USD,2016-03-21T00:31:53Z,"Pizza buns include mozzarella cheese, up to 4 toppings and 1 dipping sauce",Geno's Deli,42104,USD,0,25,KY
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,,5.99,5.99,USD,2016-03-21T00:31:53Z,,Geno's Deli,42104,USD,0,25,KY
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,,,,,2016-03-21T00:31:53Z,,Geno's Deli,42104,USD,0,25,KY
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,,7.99,5.99,USD,2016-03-21T00:31:53Z,"Penne pasta with pizza sauce, pepperoni, sausage and mozzarella",Geno's Deli,42104,USD,0,25,KY
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,,6.99,6.99,USD,2016-03-21T00:31:53Z,Personal pizza with up to five vegetables (see pizza menu for toppings),Geno's Deli,42104,USD,0,25,KY
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,,,,,2016-03-21T00:31:53Z,,Geno's Deli,42104,USD,0,25,KY
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,14,14,USD,2015-10-24T00:03:31Z,"Buffalo chicken, hot sauce, blue cheese and mozzarella",Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,16.5,16.5,USD,2015-10-24T00:03:31Z,"Broccoli, zuchini, squash, garlic, tomato, mozzarella and sauce",Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,11.5,11.5,USD,2015-10-24T00:03:31Z,"Mozzarella, pineapple, ham and sauce",Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,9,9,USD,2015-10-24T00:03:31Z,,Adriatico Pizza,7083,,,,Townley
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76,15.5,15.5,USD,2015-10-24T00:03:31Z,"Fresh mozzarella, basil and marinara sauce",Adriatico Pizza,7083,,,,Townley
